Index,ndvi
2015-04-23,0.8261000000000001
2015-05-09,0.7811
2015-05-25,0.7261000000000001
2015-06-10,0.5494
2015-06-26,0.4909
2015-07-12,0.43470000000000003
2015-07-28,0.4247
2015-08-13,0.37360000000000004
2015-08-29,0.34650000000000003
2015-09-14,0.33680000000000004
2015-09-30,0.4102
2015-10-16,0.4393
2015-11-01,0.34640000000000004
2015-11-17,0.5771000000000001
2015-12-03,0.5718
2015-12-19,0.9444
2016-01-01,0.24149999999999983
2016-01-17,0.8831
2016-02-02,0.9059
2016-02-18,0.8267
2016-03-05,0.2816
2016-03-21,0.3254
2016-04-06,0.5081
2016-04-22,0.5342
2016-05-08,0.389
2016-05-24,0.3791
2016-06-09,0.30670000000000003
2016-06-25,0.2816
2016-07-11,0.26940000000000003
2016-07-27,0.2175
2016-08-12,0.2238
2016-08-28,0.2207
2016-09-13,0.2722
2016-09-29,0.201
2016-10-15,0.5066
2016-10-31,0.2746
2016-11-16,0.5127
2016-12-02,0.6297
2016-12-18,0.88
2017-01-01,0.9329000000000001
2017-01-17,0.8935000000000001
2017-02-02,0.8763000000000001
2017-02-18,0.22060000000000002
2017-03-06,0.3204
2017-03-22,0.5075000000000001
2017-04-07,0.7065
2017-04-23,0.7788
2017-05-09,0.7262000000000001
2017-05-25,0.5909
2017-06-10,0.42460000000000003
2017-06-26,0.38580000000000003
2017-07-12,0.3342
2017-07-28,0.3296
2017-08-13,0.28850000000000003
2017-08-29,0.2716
2017-09-14,0.2748
2017-09-30,0.2942
2017-10-16,0.3129
2017-11-01,0.2436
2017-11-17,0.4439
2017-12-03,0.5694
2017-12-19,0.9195000000000001
2018-01-01,0.9434
2018-01-17,0.9410000000000001
2018-02-02,0.7204
2018-02-18,0.3715
2018-03-06,0.3351
2018-03-22,0.456
2018-04-07,0.7255
2018-04-23,0.766
2018-05-09,0.6612
2018-05-25,0.4612
2018-06-10,0.33630000000000004
2018-06-26,0.31570000000000004
2018-07-12,0.2938
2018-07-28,0.2686
2018-08-13,0.22540000000000002
2018-08-29,0.2434
2018-09-14,0.2771
2018-09-30,0.3088
2018-10-16,0.2661
2018-11-01,0.3965
2018-11-17,0.5721
2018-12-03,0.9415
2018-12-19,0.9413
